-tu| vous
-vous| vous
++|à plus tard
a+|à plus tard
abadakor|ah bah d'accord
ag|assemblée générale
oklm|au calme
btw|au fait
bg|beau gosse
bcp|beaucoup
gg|bien joué
bjr|bonjour
c|c'est
cv|ça va ?
cb|carte bancaire
k7|cassette
cc|coucou
yw|de rien
2m1|demain
dm|demain
dev|devoir
dvs|devoir
êtes vous|êtes-vous
exo|exercice
ez|facile
grs|gymnastique rythmique et sportive
jpp|j'en peux plus
jsp|je ne sais pas
chui|je suis
jtdr|je t'adore
jtm|je t'aime
t'm|je t'aime
lpb|la plus belle
asap|le plus vite possible
mrc|merci
mdr|mort de rire
mdr|mort de rire
omg|oh mon dieu
pck|parce que
pcq|parce que
psk|parce que
machine|pc
ptdr|pété de rire
possible|peut-être
pr|pour
pi|pour information
pk|pourquoi
pq|pourquoi
ktf?|qu'est-ce que tu fais ?
when|quand
comment|quoi
qwa|quoi
stp|s'il te plait
slm|salam
slt|salut
wsh|salut
suis je |suis-je
tkt|t'inquiète
ts|tentative de suicide
tmtc|toi même tu sais
tjr|toujours
tt|tout
tlm|tout le monde
pgm|très bon joueur
lol|très drôle
t|tu es
tfk|tu fais quoi ?
tfq|tu fais quoi ?
ton|votre
tu|vous
es|êtes
as|avez
peux|pouvez
te|vous
sui|suis
C|c'est
veux|voulez
dois|devez
bafouilles|bafouillez
intrigues|intriguez
acceptes|acceptez
entres|entrez
prépares|préparez
prepares|préparez
achetes|achetez
envoyes|envoyez
présentes|présentez
presentes|présentez
aides|aidez
espéres|espérez
pries|priez
aimes|aimez
essayes|essayez
prononces|prononcez
ajoutes|ajoutez
existes|existez
quittes|quittez
appeles|appelez
expliques|expliquez
racontes|racontez
apportes|apportez
exprimes|exprimez
rappeles|rappelez
approches|approchez
fermes|fermez
refuses|refusez
appuyes|appuyez
formes|formez
regardes|regardez
arrêtes|arrêtez
arretes|arrêtez
frappes|frappez
rencontres|rencontrez
arrives|arrivez
gagnes|gagnez
rentres|rentrez
assures|assurez
gardes|gardez
répétes|répétez
repetes|répétez
avances|avancez
glisses|glissez
ressembles|ressemblez
brilles|brillez
jetes|jetez
restes|restez
brûles|brûlez
brules|brûlez
joues|jouez
retournes|retournez
caches|cachez
juges|jugez
retrouves|retrouvez
causes|causez
leves|levez
rêves|rêvez
reves|rêvez
cesses|cessez
manges|mangez
roules|roulez
changes|changez
manques|manquez
sauves|sauvez
chantes|chantez
marches|marchez
sembles|semblez
charges|chargez
montes|montez
tires|tirez
cherches|cherchez
montres|montrez
tombes|tombez
commences|commencez
nommes|nommez
touches|touchez
comptes|comptez
occupes|occupez
tournes|tournez
continues|continuez
oublies|oubliez
travailles|travaillez
couches|couchez
parles|parlez
traverses|traversez
cries|criez
passes|passez
trompes|trompez
décides|décidez
decides|décidez
payes|payez
trouves|trouvez
demandes|demandez
penses|pensez
tues|tuez
devines|devinez
places|placez
voles|volez
donnes|donnez
pleures|pleurez
voyages|voyagez
écoutes|écoutez
ecoutes|écoutez
portes|portez
éleves|élevez
eleves|élevez
poses|posez
embrasses|embrassez
possédes|possédez
possedes|possédez
emportes|emportez
pousses|poussez
dérives|dérivez
derives|dérivez
crois|croyez
mets|mettez
connais|connaissez
pars|partez
tiens|tenez
entends|entendez
lis|lisez
parais|paraissez
attends|attendez
perds|perdez
jene|je ne
recommences|recommencez
