++|à plus tard
a+|à plus tard
abadakor|ah bah d'accord
ag|assemblée générale
oklm|au calme
btw|au fait
bg|beau gosse
bcp|beaucoup
gg|bien joué
bjr|bonjour
c|c'est
cv|ça va ?
cb|carte bancaire
k7|cassette
cc|coucou
yw|de rien
2m1|demain
dm|demain
dev|devoir
dvs|devoir
êtes vous|êtes-vous
exo|exercice
ez|facile
grs|gymnastique rythmique et sportive
jpp|j'en peux plus
jsp|je ne sais pas
chui|je suis
jtdr|je t'adore
jtm|je t'aime
t'm|je t'aime
lpb|la plus belle
asap|le plus vite possible
mrc|merci
mdr|mort de rire
mdr|mort de rire
omg|oh mon dieu
pck|parce que
pcq|parce que
psk|parce que
machine|pc
ptdr|pété de rire
possible|peut-être
pr|pour
pi|pour information
pk|pourquoi
pq|pourquoi
ktf?|qu'est-ce que tu fais ?
when|quand
comment|quoi
qwa|quoi
stp|s'il te plait
slm|salam
slt|salut
wsh|salut
suis je |suis-je
tkt|t'inquiète
ts|tentative de suicide
tmtc|toi même tu sais
tjr|toujours
tt|tout
tlm|tout le monde
pgm|très bon joueur
lol|très drôle
t|tu es
tfk|tu fais quoi ?
tfq|tu fais quoi ?
ton|votre
tu|vous
es|êtes
as|avez
peux|pouvez
te|vous
sui|suis
C|c'est
veux|voulez
dois|devez
accepte|acceptez
entre|entrez
prépare|préparez
achete|achetez
envoye|envoyez
présente|présentez
aide|aidez
espére|espérez
prie|priez
aime|aimez
essaye|essayez
prononce|prononcez
ajoute|ajoutez
existe|existez
quitte|quittez
appele|appelez
explique|expliquez
raconte|racontez
apporte|apportez
exprime|exprimez
rappele|rappelez
approche|approchez
ferme|fermez
refuse|refusez
appuye|appuyez
forme|formez
regarde|regardez
arrête|arrêtez
frappe|frappez
rencontre|rencontrez
arrive|arrivez
gagne|gagnez
rentre|rentrez
assure|assurez
garde|gardez
répéte|répétez
avance|avancez
glisse|glissez
ressemble|ressemblez
brille|brillez
jete|jetez
reste|restez
brûle|brûlez
joue|jouez
retourne|retournez
cache|cachez
juge|jugez
retrouve|retrouvez
cause|causez
leve|levez
rêve|rêvez
cesse|cessez
mange|mangez
roule|roulez
change|changez
manque|manquez
sauve|sauvez
chante|chantez
marche|marchez
semble|semblez
charge|chargez
monte|montez
tire|tirez
cherche|cherchez
montre|montrez
tombe|tombez
commence|commencez
nomme|nommez
touche|touchez
compte|comptez
occupe|occupez
tourne|tournez
continue|continuez
oublie|oubliez
travaille|travaillez
couche|couchez
parle|parlez
traverse|traversez
crie|criez
passe|passez
trompe|trompez
décide|décidez
paye|payez
trouve|trouvez
demande|demandez
pense|pensez
tue|tuez
devine|devinez
place|placez
vole|volez
donne|donnez
pleure|pleurez
voyage|voyagez
écoute|écoutez
porte|portez
éleve|élevez
pose|posez
embrasse|embrassez
posséde|possédez
emporte|emportez
pousse|poussez
dérive|dérivez
crois|croyez
mets|mettez
connais|connaissez
pars|partez
tiens|tenez
entends|entendez
lis|lisez
parais|paraissez
attends|attendez
perds|perdez
